URL,Headline,Author,Date
https://www.theverge.com/2023/4/19/23686385/supreme-court-counterman-colorado-oral-arguments-true-threats-facebook,The Supreme Court is about to hear a landmark online threats case,Adi Robertson," Apr 19, 2023, 1:00 PM UTC"
https://www.theverge.com/2023/4/18/23688141/ai-drake-song-ghostwriter-copyright-umg-the-weeknd,What’s really going on with ‘Ghostwriter’ and the AI Drake song?,Mia Sato,"Updated Apr 19, 2023, 7:08 PM UTC"
https://www.theverge.com/2023/4/18/23687373/webby-awards-2023-nominations-voting-peoples-voice-vergecast-full-frame,"The Verge is nominated for three Webby Awards, and you can help us win!",Verge Staff," Apr 18, 2023, 11:30 AM UTC"
